MetinID,Ort_Kelime_Boyu,Ort_Cumle_Boyu,Noktalama_Orani,Zenginlik_Endeksi,Tekrarlayan_Kelime_Orani,Zarf_Orani,Sifat_Orani,Pasif_Cumle_Orani,Baglac_Orani,Yazar_Sinifi
TXT_0001,5.09,21.82,0.119,0.72,0.214,0.113,0.166,0.022,0.134,Halide_Edip
TXT_0002,6.07,24.7,0.15,0.8,0.13,0.112,0.179,0.041,0.087,Ahmet_Hamdi
TXT_0003,5.56,23.14,0.157,0.81,0.119,0.094,0.152,0.084,0.12,Ahmet_Hamdi
TXT_0004,5.82,18.07,0.152,0.76,0.201,0.058,0.099,0.089,0.095,Ahmet_Hamdi
TXT_0005,6.12,18.11,0.14,0.74,0.174,0.116,0.124,0.073,0.084,Ahmet_Hamdi
TXT_0006,5.96,24.17,0.129,0.78,0.223,0.053,0.177,0.027,0.145,Ahmet_Hamdi
TXT_0007,6.17,26.45,0.178,0.71,0.123,0.088,0.162,0.058,0.094,Ahmet_Hamdi
TXT_0008,5.31,20.48,0.108,0.65,0.195,0.056,0.088,0.096,0.105,Halide_Edip
TXT_0009,5.83,26.02,0.154,0.71,0.243,0.1,0.11,0.031,0.127,Ahmet_Hamdi
TXT_0010,6.21,26.66,0.138,0.72,0.181,0.093,0.173,0.057,0.076,Ahmet_Hamdi
TXT_0011,5.93,17.38,0.139,0.65,0.116,0.05,0.158,0.044,0.095,Peyami_Safa
TXT_0012,6.0,22.35,0.141,0.71,0.22,0.117,0.112,0.031,0.081,Peyami_Safa
TXT_0013,4.93,18.37,0.104,0.62,0.179,0.058,0.18,0.042,0.1,Halide_Edip
TXT_0014,6.35,26.46,0.128,0.74,0.163,0.106,0.147,0.049,0.128,Ahmet_Hamdi
TXT_0015,5.14,16.75,0.136,0.7,0.197,0.098,0.11,0.07,0.041,Halide_Edip
TXT_0016,5.63,19.86,0.119,0.69,0.212,0.063,0.11,0.089,0.08,Halide_Edip
TXT_0017,5.5,23.96,0.131,0.71,0.206,0.077,0.147,0.043,0.081,Peyami_Safa
TXT_0018,6.3,20.36,0.135,0.75,0.242,0.115,0.112,0.078,0.126,Ahmet_Hamdi
TXT_0019,5.07,21.91,0.131,0.63,0.208,0.105,0.166,0.078,0.14,Halide_Edip
TXT_0020,5.19,20.12,0.135,0.61,0.119,0.059,0.158,0.06,0.098,Halide_Edip
TXT_0021,5.33,16.01,0.156,0.79,0.198,0.068,0.132,0.076,0.098,Peyami_Safa
TXT_0022,5.39,18.76,0.113,0.68,0.198,0.115,0.135,0.034,0.147,Halide_Edip
TXT_0023,5.86,16.17,0.137,0.77,0.168,0.108,0.124,0.076,0.07,Peyami_Safa
TXT_0024,5.15,20.94,0.13,0.62,0.186,0.096,0.156,0.091,0.055,Halide_Edip
TXT_0025,5.07,15.71,0.092,0.66,0.145,0.12,0.121,0.035,0.044,Halide_Edip
TXT_0026,5.89,22.45,0.136,0.75,0.239,0.091,0.081,0.098,0.042,Peyami_Safa
TXT_0027,5.66,17.14,0.124,0.77,0.139,0.112,0.155,0.086,0.052,Peyami_Safa
TXT_0028,5.27,16.8,0.135,0.73,0.198,0.078,0.134,0.031,0.078,Peyami_Safa
TXT_0029,5.67,20.78,0.17,0.82,0.186,0.058,0.098,0.073,0.066,Ahmet_Hamdi
TXT_0030,5.78,16.33,0.121,0.79,0.149,0.088,0.143,0.08,0.136,Peyami_Safa
TXT_0031,5.7,22.52,0.128,0.7,0.154,0.096,0.157,0.035,0.131,Ahmet_Hamdi
TXT_0032,5.1,18.33,0.1,0.65,0.217,0.082,0.15,0.082,0.137,Halide_Edip
