TextID,Avg_Word_Length,Avg_Sentence_Length,Punctuation_Ratio,Richness_Index,Repetitive_Word_Ratio,Adverb_Ratio,Adjective_Ratio,Passive_Sentence_Ratio,Conjunction_Ratio,Author_Class
TXT_0001,5.52,18.22,0.11,0.7,0.106,0.095,0.124,0.056,0.144,Peyami_Safa
TXT_0002,5.94,18.48,0.126,0.83,0.224,0.051,0.092,0.075,0.128,Ahmet_Hamdi
TXT_0003,5.69,15.78,0.093,0.66,0.115,0.112,0.138,0.088,0.078,Halide_Edip
TXT_0004,4.93,15.44,0.091,0.66,0.148,0.083,0.086,0.051,0.043,Halide_Edip
TXT_0005,5.83,21.46,0.167,0.72,0.215,0.108,0.116,0.043,0.097,Ahmet_Hamdi
TXT_0006,6.17,17.45,0.114,0.67,0.217,0.109,0.129,0.081,0.139,Peyami_Safa
TXT_0007,6.13,21.25,0.115,0.79,0.213,0.104,0.169,0.09,0.146,Peyami_Safa
TXT_0008,5.33,19.83,0.133,0.67,0.143,0.088,0.115,0.046,0.14,Halide_Edip
TXT_0009,5.68,14.53,0.139,0.74,0.169,0.092,0.128,0.057,0.067,Halide_Edip
TXT_0010,5.44,21.09,0.158,0.78,0.247,0.108,0.118,0.087,0.071,Peyami_Safa
TXT_0011,6.42,22.0,0.158,0.83,0.18,0.071,0.166,0.085,0.054,Ahmet_Hamdi
TXT_0012,5.66,19.51,0.122,0.76,0.229,0.052,0.1,0.056,0.042,Peyami_Safa
TXT_0013,5.87,16.58,0.158,0.72,0.248,0.111,0.106,0.047,0.104,Peyami_Safa
TXT_0014,5.05,20.62,0.125,0.65,0.165,0.089,0.137,0.084,0.133,Halide_Edip
TXT_0015,4.86,20.79,0.102,0.68,0.149,0.117,0.16,0.053,0.073,Halide_Edip
TXT_0016,4.81,16.56,0.125,0.67,0.24,0.059,0.107,0.076,0.075,Halide_Edip
TXT_0017,5.64,15.83,0.13,0.66,0.151,0.096,0.158,0.022,0.12,Halide_Edip
TXT_0018,6.39,23.92,0.148,0.76,0.134,0.084,0.083,0.041,0.119,Ahmet_Hamdi
TXT_0019,5.55,21.99,0.115,0.68,0.211,0.084,0.138,0.038,0.143,Peyami_Safa
TXT_0020,5.64,20.57,0.158,0.82,0.182,0.086,0.081,0.041,0.128,Ahmet_Hamdi
TXT_0021,5.98,21.03,0.125,0.76,0.141,0.12,0.103,0.089,0.04,Peyami_Safa
TXT_0022,5.6,18.25,0.171,0.74,0.178,0.083,0.095,0.074,0.146,Ahmet_Hamdi
TXT_0023,5.28,18.49,0.118,0.68,0.128,0.107,0.176,0.041,0.065,Halide_Edip
TXT_0024,6.15,19.63,0.127,0.73,0.185,0.114,0.118,0.047,0.063,Ahmet_Hamdi
TXT_0025,5.48,23.32,0.158,0.79,0.15,0.103,0.166,0.067,0.122,Peyami_Safa
TXT_0026,6.31,18.8,0.153,0.78,0.165,0.053,0.172,0.099,0.051,Ahmet_Hamdi
TXT_0027,5.84,17.24,0.145,0.78,0.164,0.099,0.091,0.083,0.073,Peyami_Safa
TXT_0028,5.69,22.83,0.159,0.82,0.127,0.088,0.164,0.069,0.041,Ahmet_Hamdi
TXT_0029,5.5,19.64,0.135,0.67,0.102,0.087,0.152,0.024,0.121,Peyami_Safa
TXT_0030,5.29,24.19,0.157,0.76,0.196,0.059,0.172,0.029,0.081,Peyami_Safa
TXT_0031,5.88,20.84,0.177,0.73,0.24,0.072,0.167,0.089,0.121,Ahmet_Hamdi
TXT_0032,5.45,19.44,0.13,0.72,0.236,0.086,0.176,0.072,0.113,Peyami_Safa
TXT_0033,5.55,17.13,0.09,0.7,0.206,0.096,0.091,0.034,0.063,Halide_Edip
TXT_0034,6.43,23.53,0.158,0.71,0.144,0.058,0.164,0.035,0.107,Ahmet_Hamdi
TXT_0035,6.13,19.39,0.115,0.67,0.136,0.054,0.115,0.043,0.068,Peyami_Safa
TXT_0036,6.29,20.01,0.126,0.8,0.154,0.101,0.103,0.093,0.098,Ahmet_Hamdi
TXT_0037,5.1,14.67,0.114,0.63,0.214,0.093,0.139,0.045,0.12,Halide_Edip
